Record_ID,Hour,Day_of_Week,Vehicle_Count,Average_Speed_kmph,Traffic_Density_veh_per_km,Road_Occupancy_percent,Traffic_Condition
117,16,3,297.0,27.2,52.71,62.04,High
118,23,2,36.0,62.71,19.47,11.16,Low
119,2,3,199.0,34.75,77.04,67.84,High
120,14,2,145.0,30.49,25.66,34.71,Moderate
121,3,0,207.0,10.03,56.36,68.74,High
122,10,3,248.0,21.28,56.54,81.79,High
123,2,0,46.0,47.06,23.61,23.09,Low
124,19,5,70.0,55.81,28.87,18.39,Low
125,5,6,33.0,51.86,29.68,18.19,Low
126,11,1,103.0,34.26,25.93,44.55,Moderate
127,16,4,164.0,21.79,71.73,56.37,High
128,6,2,202.0,13.84,68.15,71.21,High
129,19,5,78.0,52.35,28.24,29.35,Low
130,11,3,84.0,39.63,28.52,28.76,Moderate
131,21,4,78.0,34.01,39.75,26.93,Moderate
132,7,4,16.0,64.94,16.21,19.1,Low
133,5,2,32.0,62.01,17.91,29.49,Low
134,10,5,59.0,63.93,29.05,28.16,Low
135,14,5,237.0,13.65,54.11,72.84,High
136,0,1,34.0,53.65,25.52,28.82,Low
137,21,6,102.0,47.65,27.48,49.74,Moderate
138,14,1,135.0,49.55,31.03,45.8,Moderate
139,5,0,58.0,47.61,22.73,24.13,Low
140,11,1,155.0,25.42,74.52,61.95,High
141,6,2,241.0,30.04,63.58,82.59,High
142,8,3,18.0,59.94,25.68,19.62,Low
143,12,0,83.0,31.63,26.81,32.41,Moderate
144,12,4,59.0,60.39,16.58,19.4,Low
145,17,2,67.0,61.47,19.96,21.11,Low
146,9,2,36.0,53.31,20.85,19.87,Low
147,6,3,104.0,34.41,37.55,31.11,Moderate
148,19,4,118.0,47.37,46.82,47.28,Moderate
149,17,0,18.0,63.38,25.35,20.1,Low
150,3,1,65.0,59.47,18.77,24.51,Low
151,18,1,228.0,32.52,66.87,61.07,High
152,0,2,26.0,54.6,19.32,26.72,Low
153,11,5,40.0,,28.18,13.59,Low
154,8,5,147.0,40.25,37.39,27.07,Moderate
155,19,1,209.0,20.13,73.72,73.18,High
156,4,4,31.0,54.78,29.39,15.16,Low
157,14,6,134.0,45.47,28.93,54.09,Moderate
158,9,3,288.0,32.09,67.68,63.24,High
159,21,3,15.0,56.24,21.76,28.97,Low
160,4,0,97.0,30.73,47.09,44.91,Moderate
161,19,1,58.0,56.16,27.28,21.16,Low
162,0,6,147.0,31.14,40.94,53.1,Moderate
163,16,2,104.0,39.04,53.02,34.48,Moderate
164,10,5,147.0,43.76,36.92,39.4,Moderate
165,10,1,64.0,69.33,21.6,15.08,Low
166,12,3,300.0,26.67,55.59,51.2,High
167,0,6,64.0,50.05,23.47,29.4,Low
168,14,1,22.0,48.9,14.69,29.27,Low
169,17,1,79.0,65.95,28.89,23.66,Low
170,7,0,86.0,46.62,50.94,48.06,Moderate
171,13,4,115.0,48.37,43.02,53.23,Moderate
172,17,5,62.0,61.28,12.13,23.16,Low
173,8,4,132.0,49.54,37.21,51.12,Moderate
174,13,3,45.0,63.46,27.57,18.08,Low
175,18,4,88.0,46.16,47.87,48.93,Moderate
176,14,0,15.0,48.01,20.89,10.12,Low
177,0,0,145.0,42.2,41.9,36.41,Moderate
178,13,5,49.0,50.68,11.46,22.07,Low
179,7,1,223.0,28.98,70.02,71.69,High
180,1,4,42.0,45.64,16.82,17.6,Low
181,13,1,58.0,56.92,17.89,20.99,Low
182,14,4,57.0,45.46,13.92,10.15,Low
183,3,4,273.0,33.87,76.19,65.2,High
184,15,4,290.0,18.79,54.06,69.43,High
185,7,1,66.0,61.75,28.59,20.65,Low
186,10,6,105.0,44.35,37.0,54.3,Moderate
187,23,0,244.0,31.49,81.99,57.38,High
188,21,6,111.0,33.7,52.53,37.74,Moderate
189,12,6,123.0,41.0,26.3,43.99,Moderate
190,8,6,36.0,65.48,27.68,14.56,Low
191,23,0,24.0,49.37,17.22,28.12,Low
192,6,1,240.0,29.51,60.99,82.9,High
193,17,4,238.0,12.39,74.95,68.07,High
194,20,0,116.0,34.7,51.08,39.19,Moderate
195,10,1,36.0,45.59,22.84,22.14,Low
196,20,1,71.0,57.42,29.76,12.73,Low
197,10,6,136.0,38.85,38.37,46.74,Moderate
198,9,6,173.0,13.21,54.16,78.97,High
199,2,0,258.0,11.99,53.43,85.77,High
200,12,0,285.0,19.17,63.74,74.69,High
201,20,5,129.0,31.35,49.01,32.01,Moderate
202,21,5,64.0,62.0,14.62,19.14,Low
203,1,6,16.0,69.85,23.24,21.16,Low
204,4,4,179.0,18.34,73.22,53.55,High
205,22,3,100.0,45.1,30.11,37.28,Moderate
206,12,6,31.0,52.52,29.62,19.5,Low
207,20,3,19.0,63.43,25.37,14.87,Low
208,20,3,139.0,35.14,48.64,50.94,Moderate
209,22,1,52.0,48.98,11.26,12.35,Low
210,0,2,80.0,54.52,16.93,14.78,Low
211,22,5,136.0,37.94,38.42,43.02,Moderate
212,19,1,104.0,45.73,42.24,42.0,Moderate
213,2,5,81.0,48.61,28.49,49.52,Moderate
214,13,0,44.0,63.04,12.83,14.24,Low
215,17,5,84.0,38.06,30.21,45.85,Moderate
216,21,0,34.0,59.33,28.65,21.5,Low
217,13,4,50.0,60.16,12.78,27.97,Low
218,20,1,121.0,40.05,36.96,29.39,Moderate
219,12,3,77.0,39.56,40.18,31.98,Moderate
220,13,3,161.0,34.15,67.3,62.47,High
221,10,5,87.0,35.56,50.54,25.01,Moderate
222,18,1,71.0,43.0,29.56,26.84,Moderate
223,23,6,24.0,50.29,19.69,25.09,Low
224,18,6,23.0,48.56,12.43,16.07,Low
225,16,4,30.0,46.56,20.19,29.93,Low
226,17,6,66.0,49.34,23.11,26.96,Low
227,21,5,265.0,20.12,76.16,64.17,High
228,21,5,19.0,45.28,18.32,19.63,Low
229,4,0,228.0,24.55,77.24,57.59,High
230,17,4,82.0,30.24,32.24,54.28,Moderate
231,3,1,288.0,21.36,83.77,53.92,High
232,19,4,121.0,34.87,44.55,49.32,Moderate
233,16,0,107.0,37.85,53.69,28.99,Moderate
234,9,1,110.0,43.76,38.13,32.64,Moderate
235,22,1,72.0,51.33,25.62,26.5,Low
236,22,4,77.0,47.9,44.1,43.42,Moderate
237,7,0,46.0,69.71,18.87,10.96,Low
238,16,4,57.0,61.48,26.04,12.11,Low
239,10,3,89.0,44.75,35.6,33.9,Moderate
240,4,4,29.0,68.56,25.68,17.1,Low
241,14,3,243.0,30.76,52.75,66.97,High
242,1,6,230.0,17.39,80.77,74.99,High
243,22,5,198.0,16.39,60.43,52.77,High
244,21,4,24.0,64.97,15.86,29.6,Low
245,1,2,67.0,68.01,20.42,22.33,Low
246,7,2,159.0,18.46,87.12,58.98,High
247,19,4,147.0,38.79,43.39,53.29,Moderate
248,22,6,181.0,22.4,50.51,89.7,High
249,20,5,161.0,32.97,60.09,80.2,High
250,10,5,285.0,28.7,72.31,57.22,High
251,17,1,36.0,69.62,28.75,10.86,Low
252,14,2,43.0,62.13,11.84,29.3,Low
253,0,2,300.0,31.02,79.31,71.69,High
254,11,6,77.0,47.65,13.03,11.88,Low
255,15,0,39.0,64.03,13.2,19.23,Low
256,9,1,74.0,47.63,33.34,30.82,Moderate
257,1,0,159.0,28.56,82.6,74.6,High
258,21,3,82.0,40.77,40.72,50.44,Moderate
259,19,2,150.0,30.22,47.49,47.76,Moderate
260,4,1,30.0,48.72,16.11,27.53,Low
261,21,2,73.0,37.71,44.3,48.41,Moderate
262,9,5,186.0,26.58,50.08,57.13,High
263,22,6,60.0,53.89,25.88,11.86,Low
264,22,3,73.0,40.2,46.7,28.12,Moderate
265,18,6,281.0,11.32,69.46,73.97,High
266,21,4,129.0,46.5,39.95,27.31,Moderate
267,18,4,145.0,45.7,46.23,48.66,Moderate
268,16,2,124.0,44.71,32.08,36.14,Moderate
269,16,5,61.0,69.96,28.66,22.85,Low
270,14,5,18.0,57.4,13.57,23.72,Low
271,19,4,273.0,19.6,72.87,73.51,High
272,21,4,287.0,18.36,51.05,50.97,High
273,2,5,230.0,33.24,81.3,52.25,High
274,9,4,218.0,31.05,57.44,82.11,High
275,2,0,139.0,42.62,26.5,52.12,Moderate
276,11,3,93.0,44.59,47.97,29.77,Moderate
277,23,3,206.0,28.78,76.28,88.26,High
278,13,1,99.0,30.73,33.27,33.27,Moderate
279,5,3,149.0,37.42,37.87,50.34,Moderate
280,10,0,222.0,22.19,51.34,52.51,High
281,14,1,170.0,23.31,66.44,63.89,High
282,6,4,46.0,61.59,29.27,21.2,Low
283,4,1,56.0,65.7,25.75,22.49,Low
284,23,0,35.0,51.41,23.08,13.96,Low
285,8,0,88.0,36.17,53.41,54.02,Moderate
286,21,6,64.0,63.0,18.36,11.78,Low
287,10,0,102.0,40.47,28.44,50.8,Moderate
288,5,1,108.0,44.16,41.31,27.45,Moderate
289,1,1,79.0,55.72,12.82,23.28,Low
290,23,6,85.0,38.24,44.53,41.36,Moderate
291,18,6,54.0,47.8,17.12,29.56,Low
292,3,5,63.0,50.03,15.17,13.29,Low
293,21,3,265.0,22.98,58.2,85.11,High
294,16,6,28.0,50.97,19.02,29.7,Low
295,0,1,80.0,46.63,19.28,28.18,Low
296,10,2,75.0,37.44,38.55,36.92,Moderate
297,8,3,200.0,14.89,57.47,53.76,High
298,17,1,69.0,61.07,13.92,27.94,Low
299,2,4,129.0,43.92,48.8,34.5,Moderate
300,0,6,17.0,67.43,13.38,20.14,Low
301,3,5,22.0,67.35,23.09,13.04,Low
302,10,5,139.0,49.36,50.71,28.53,Moderate
303,12,1,85.0,49.77,39.56,28.67,Moderate
304,4,0,73.0,49.94,54.39,44.68,Moderate
305,4,2,72.0,40.55,46.58,51.71,Moderate
306,11,0,158.0,30.48,71.63,78.41,High
307,23,1,80.0,48.03,44.55,34.42,Moderate
308,23,1,17.0,67.0,20.51,14.89,Low
309,22,5,183.0,18.7,68.01,79.95,High
310,2,0,31.0,66.04,19.43,29.58,Low
311,23,3,153.0,44.79,28.19,34.45,Moderate
312,7,6,61.0,49.37,27.11,14.54,Low
313,14,6,77.0,53.51,27.33,14.31,Low
314,13,3,170.0,10.83,62.16,76.13,High
315,17,2,294.0,29.15,81.54,76.6,High
316,23,5,75.0,43.41,41.81,28.33,Moderate
317,18,5,107.0,34.53,36.45,28.87,Moderate
318,21,0,39.0,55.54,10.54,29.32,Low
319,12,6,65.0,65.65,23.99,26.79,Low
320,18,6,77.0,58.98,22.56,20.65,Low
321,16,5,83.0,34.37,28.61,27.05,Moderate
322,10,4,78.0,30.25,39.06,34.04,Moderate
323,7,1,128.0,44.6,42.96,26.93,Moderate
324,16,5,55.0,69.73,22.52,20.63,Low
325,20,4,161.0,24.57,89.82,84.23,High
326,8,4,117.0,46.63,42.97,28.45,Moderate
327,0,4,78.0,43.38,49.88,51.37,Moderate
328,14,6,156.0,38.61,34.51,38.04,Moderate
329,18,5,88.0,47.85,38.3,43.21,Moderate
330,3,5,34.0,64.72,22.79,23.53,Low
331,22,0,59.0,69.27,15.25,15.43,Low
332,17,0,150.0,16.72,66.28,85.66,High
333,9,0,75.0,56.81,10.91,12.8,Low
334,2,4,71.0,53.28,19.64,13.92,Low
335,16,5,70.0,59.77,20.74,27.08,Low
336,20,4,22.0,45.92,12.16,16.78,Low
337,23,4,211.0,19.92,51.78,61.11,High
338,6,6,118.0,42.34,28.42,35.36,Moderate
339,10,4,110.0,30.59,45.26,26.35,Moderate
340,7,4,60.0,49.13,17.8,24.6,Low
341,4,0,81.0,43.49,33.9,46.55,Moderate
342,16,6,160.0,30.04,46.53,49.89,Moderate
343,17,4,32.0,47.86,17.68,19.12,Low
344,11,1,88.0,41.93,41.49,52.01,Moderate
345,9,1,29.0,63.75,18.25,22.92,Low
346,21,0,120.0,41.87,25.3,44.08,Moderate
347,1,4,108.0,47.47,46.72,28.62,Moderate
348,8,5,52.0,65.73,29.83,26.4,Low
349,4,4,26.0,52.38,19.72,21.54,Low
350,5,3,131.0,41.17,35.3,46.88,Moderate
351,22,0,90.0,43.85,37.9,45.19,Moderate
352,2,3,271.0,24.76,,65.37,High
353,15,1,113.0,48.33,37.93,34.57,Moderate
354,1,3,71.0,45.69,17.86,20.52,Low
355,14,3,51.0,61.14,10.9,25.24,Low
356,10,6,88.0,30.51,44.37,44.11,Moderate
357,1,3,25.0,52.78,23.54,22.12,Low
358,12,1,125.0,49.76,38.62,45.65,Moderate
359,12,3,218.0,15.71,89.1,71.28,High
360,9,2,95.0,30.78,25.93,36.64,Moderate
361,9,4,64.0,52.83,12.94,19.76,Low
362,3,1,106.0,49.12,34.42,51.65,Moderate
363,19,0,142.0,49.68,33.65,53.83,Moderate
364,1,4,91.0,40.83,29.62,41.61,Moderate
365,1,4,235.0,16.17,83.54,64.25,High
366,20,3,65.0,49.43,20.15,23.55,Low
367,23,4,288.0,23.94,63.89,73.22,High
368,16,2,290.0,25.66,69.56,66.07,High
369,4,0,38.0,60.52,14.03,17.9,Low
370,1,2,50.0,67.67,12.65,21.86,Low
371,10,6,68.0,58.33,,12.61,Low
372,11,5,19.0,64.86,15.52,27.54,Low
373,19,5,31.0,68.73,20.26,11.87,Low
374,23,6,124.0,37.51,33.57,31.1,Moderate
375,16,2,29.0,60.14,28.37,17.25,Low
376,14,3,67.0,69.52,18.15,26.55,Low
377,19,4,284.0,33.9,58.02,54.37,High
378,14,5,33.0,52.8,15.12,10.62,Low
379,21,2,180.0,28.35,80.5,87.17,High
380,11,1,68.0,58.18,22.65,22.89,Low
381,14,2,55.0,51.97,14.21,29.15,Low
382,6,2,88.0,34.01,54.84,27.69,Moderate
383,12,4,134.0,36.84,43.99,27.07,Moderate
384,7,6,277.0,30.23,85.38,78.0,High
385,5,2,78.0,44.46,33.41,45.62,Moderate
386,1,4,248.0,23.73,75.28,73.08,High
387,16,6,75.0,47.52,27.38,23.63,Low
388,1,1,48.0,64.86,24.14,11.0,Low
389,2,6,162.0,26.67,58.44,84.54,High
390,20,6,269.0,20.13,86.24,62.86,High
391,18,4,214.0,23.72,58.77,51.35,High
392,22,5,88.0,42.96,28.69,51.66,Moderate
393,17,5,24.0,65.54,21.09,22.74,Low
394,3,4,259.0,30.56,82.16,72.1,High
395,13,1,73.0,64.38,15.43,19.93,Low
396,16,6,231.0,30.59,78.87,60.86,High
397,22,1,242.0,11.17,61.05,78.28,High
398,10,0,77.0,30.08,32.4,47.23,Moderate
399,3,3,214.0,13.25,72.6,84.66,High
400,15,3,231.0,32.3,67.35,86.4,High
401,0,3,65.0,47.23,23.74,19.88,Low
402,10,4,269.0,26.9,55.56,60.17,High
403,8,4,102.0,35.57,28.89,45.28,Moderate
404,4,5,233.0,29.55,75.77,51.93,High
405,15,1,62.0,54.63,27.32,19.52,Low
406,12,3,254.0,11.31,80.7,66.66,High
407,21,5,45.0,62.99,17.42,27.4,Low
408,3,1,59.0,45.9,17.89,28.62,Low
409,7,5,152.0,17.89,75.79,65.81,High
410,12,0,68.0,59.48,11.71,10.86,Low
411,20,1,63.0,47.79,20.32,15.35,Low
412,16,3,195.0,16.05,86.44,83.53,High
413,16,3,291.0,20.34,69.71,66.17,High
414,5,0,123.0,35.33,46.75,51.33,Moderate
415,11,2,153.0,39.1,33.02,31.59,Moderate
416,4,5,122.0,31.53,36.48,36.03,Moderate
417,6,3,21.0,45.44,15.87,25.46,Low
418,3,4,71.0,54.29,10.03,16.0,Low
419,7,0,76.0,47.59,45.27,41.41,Moderate
420,8,4,194.0,19.95,62.12,52.63,High
421,11,1,247.0,25.08,68.94,52.39,High
422,19,1,153.0,33.94,87.71,81.41,High
423,11,6,29.0,59.03,25.54,14.1,Low
424,10,4,126.0,42.45,48.44,42.35,Moderate
425,10,2,67.0,58.18,28.13,13.28,Low
426,14,6,134.0,,52.52,33.72,Moderate
427,19,0,115.0,31.24,29.42,25.24,Moderate
428,20,5,203.0,20.39,62.08,80.44,High
429,9,5,20.0,51.87,26.14,19.19,Low
430,7,3,27.0,56.46,21.22,27.28,Low
431,11,5,47.0,48.42,29.9,20.54,Low
432,11,2,165.0,25.91,69.93,66.27,High
433,17,1,158.0,48.39,30.28,31.42,Moderate
434,1,0,20.0,49.75,25.85,28.16,Low
435,12,1,57.0,58.04,29.55,25.15,Low
436,10,6,77.0,45.46,34.3,31.96,Moderate
437,11,0,,69.0,25.27,27.1,Low
438,10,4,223.0,29.61,65.08,72.08,High
439,15,2,157.0,46.16,30.34,40.44,Moderate
440,12,4,36.0,55.72,10.58,19.62,Low
441,1,2,24.0,67.53,13.08,29.8,Low
442,19,3,278.0,11.12,80.44,64.87,High
443,16,1,49.0,46.44,18.89,15.51,Low
444,3,0,59.0,51.28,21.28,17.17,Low
445,22,1,263.0,32.56,85.09,88.97,High
446,16,5,208.0,15.52,51.56,51.44,High
447,10,2,247.0,26.99,59.0,67.26,High
448,6,6,298.0,22.92,80.35,61.3,High
449,9,3,40.0,,18.39,25.61,Low
450,15,2,29.0,58.61,14.09,15.11,Low
451,3,1,261.0,31.38,58.28,52.85,High
452,7,6,84.0,47.59,38.8,27.85,Moderate
453,3,2,130.0,44.53,48.22,35.58,Moderate
454,22,4,183.0,31.9,71.56,61.3,High
455,21,5,67.0,64.14,10.0,18.33,Low
456,19,2,126.0,49.46,31.78,34.13,Moderate
457,18,6,65.0,46.3,13.82,16.2,Low
458,17,5,105.0,44.84,50.45,37.68,Moderate
459,15,2,76.0,65.45,15.06,15.43,Low
460,20,5,61.0,65.17,29.7,25.08,Low
461,9,1,35.0,48.74,17.61,18.29,Low
462,10,1,101.0,33.35,48.42,42.51,Moderate
463,20,4,155.0,35.31,43.05,33.9,Moderate
464,23,1,134.0,44.17,30.16,54.17,Moderate
465,14,6,253.0,14.5,53.93,82.14,High
466,8,4,53.0,66.26,16.89,10.62,Low
467,16,6,27.0,50.33,23.3,13.15,Low
468,0,0,198.0,28.18,72.48,87.88,High
469,16,2,29.0,57.67,17.74,28.13,Low
470,13,1,192.0,30.97,50.46,78.15,High
471,5,0,75.0,47.44,21.18,20.02,Low
472,7,4,232.0,20.74,62.35,69.29,High
473,10,1,78.0,62.86,29.05,14.53,Low
474,23,5,238.0,13.93,62.39,61.6,High
475,2,1,126.0,45.93,32.51,43.75,Moderate
476,7,3,165.0,34.55,75.12,59.9,High
477,16,5,26.0,52.19,16.14,17.06,Low
478,0,5,74.0,44.65,37.14,27.05,Moderate
479,1,5,199.0,20.82,77.42,63.3,High
480,6,6,116.0,37.63,54.46,48.55,Moderate
481,23,3,156.0,33.98,37.55,47.53,Moderate
482,7,1,98.0,36.51,53.24,52.44,Moderate
483,4,3,131.0,40.37,30.38,54.12,Moderate
484,16,2,131.0,41.11,30.69,42.47,Moderate
485,2,1,118.0,37.95,32.93,31.16,Moderate
486,22,6,273.0,23.74,77.59,55.76,High
487,19,3,43.0,68.14,11.37,18.61,Low
488,1,5,33.0,60.59,22.97,15.35,Low
489,15,5,216.0,19.33,72.55,68.03,High
490,18,1,249.0,16.24,50.08,56.96,High
491,15,4,158.0,33.1,53.34,47.1,Moderate
492,0,0,91.0,42.5,36.21,26.51,Moderate
493,0,1,59.0,59.57,15.06,19.01,Low
494,5,5,50.0,63.14,22.34,24.79,Low
495,19,2,86.0,39.96,47.28,34.81,Moderate
496,8,2,39.0,55.85,15.17,18.69,Low
497,8,1,95.0,49.93,31.88,41.41,Moderate
498,22,6,64.0,62.85,11.83,13.99,Low
499,10,1,196.0,10.74,64.24,50.63,High
500,0,2,189.0,18.87,66.99,58.61,High
501,5,6,85.0,31.62,53.54,50.15,Moderate
502,2,1,88.0,39.87,33.5,48.6,Moderate
503,13,1,79.0,51.33,29.75,15.83,Low
504,0,5,222.0,15.16,81.99,63.34,High
505,10,2,106.0,43.33,48.62,38.63,Moderate
506,10,4,74.0,65.84,,20.7,Low
507,10,1,228.0,11.6,82.99,61.7,High
508,23,3,153.0,24.76,66.31,68.78,High
509,0,5,278.0,29.11,66.39,76.21,High
510,20,1,107.0,32.24,40.49,48.6,Moderate
511,3,4,140.0,44.41,49.79,38.39,Moderate
512,22,0,70.0,36.2,32.5,40.45,Moderate
513,12,6,170.0,28.56,53.07,84.91,High
514,9,0,195.0,32.84,88.11,63.07,High
515,8,5,72.0,68.53,27.53,12.05,Low
516,22,0,49.0,53.72,20.43,25.89,Low
517,4,6,44.0,55.98,22.21,13.21,Low
518,12,0,290.0,28.05,65.39,69.58,High
519,21,5,253.0,31.57,71.28,81.58,High
520,18,5,47.0,53.63,18.28,24.65,Low
521,9,3,79.0,42.69,42.46,28.55,Moderate
522,18,5,25.0,51.13,11.15,17.82,Low
523,8,6,292.0,28.73,72.88,89.45,High
524,14,1,182.0,20.72,71.64,77.86,High
525,15,6,247.0,20.3,84.82,75.26,High
526,6,1,146.0,43.93,39.87,52.99,Moderate
527,6,1,86.0,34.13,36.76,51.87,Moderate
528,10,0,63.0,68.79,25.53,22.23,Low
529,15,0,17.0,59.02,22.57,23.77,Low
530,21,0,203.0,28.09,71.43,83.44,High
531,18,2,257.0,18.34,81.66,68.05,High
532,7,1,164.0,21.66,53.03,65.51,High
533,11,6,277.0,15.09,52.68,85.09,High
534,16,4,126.0,44.86,50.44,41.37,Moderate
535,9,4,231.0,19.39,82.15,67.34,High
536,22,5,216.0,15.5,64.02,64.9,High
537,10,2,281.0,21.61,78.91,76.27,High
538,1,4,44.0,50.44,23.23,19.68,Low
539,4,4,148.0,30.97,42.43,37.78,Moderate
540,4,2,76.0,65.08,20.36,12.81,Low
541,5,4,193.0,28.56,56.8,57.8,High
542,3,1,127.0,48.16,47.76,42.91,Moderate
543,21,2,76.0,48.91,19.48,24.33,Low
544,11,1,126.0,34.83,31.45,37.75,Moderate
545,17,3,113.0,44.92,41.74,42.54,Moderate
546,5,0,37.0,61.49,25.92,15.44,Low
547,20,1,52.0,63.71,14.5,20.57,Low
